flétnistka;Q12902372
florbalista;Q23868946
florbalistka;Q23868946
folklorista;Q3075052
folkloristka;Q3075052
foniatr;Q71127234
foniatrička;Q71127234
fonolog;Q46163584
fonoložka;Q46163584
fotbalista;Q937857
fotbalistka;Q937857
fotograf;Q33231
fotografka;Q33231
fotolaborantka;Q1439653
fotomodel;Q3357567
fotomodelka;Q3357567
fotoreportér;Q957729
fotoreportérka;Q957729
fotožurnalistka;Q957729
funkcionář;Q1328323
funkcionářka;Q1328323
futurolog;Q846430
fylogenetička;Q23840151
fylogenetik;Q23840151
fylogeograf;Q71050302
fylogeografka;Q71050302
fytopatolog;Q3746192
fytopatoložka;Q3746192
fyzička;Q169470
fyzik;Q169470
fyziolog;Q2055046
fyzioložka;Q2055046
fyzioterapeut;Q694748
fyzioterapeutka;Q694748
galerista;Q20771242
galeristka;Q20771242
gambista;Q19760296
gambistka;Q19760296
gastroenterolog;Q19280221
gastroenteroložka;Q19280221
gastronomie;Q171141
genealog;Q8963721
genealožka;Q8963721
genetička;Q3126128
genetik;Q3126128
geobiolog;Q23823874
geobioložka;Q23823874
geobotanička;Q19961388
geobotanik;Q19961388
geofyzička;Q12094958
geofyzik;Q12094958
geograf;Q901402
geografka;Q901402
geochemička;Q16335312
geochemik;Q16335312
geoinformatička;Q71050729
geoinformatik;Q71050729
geolog;Q520549
geoložka;Q520549
geomorfolog;Q38053159
geopolitička;Q16947320
geopolitik;Q16947320
germanista;Q2599593
germanistka;Q2599593
gerontolog;Q20107384
gerontoložka;Q20107384
glaciolog;Q15623737
glacioložka;Q15623737
glyptik;Q17319698
golfista;Q11303721
golfistka;Q11303721
grafička;Q1925963
grafik;Q1925963
gramatik;Q15991187
granátník;Q313303
guvernantka;Q1540278
gymnasta;Q16947675
gymnastka;Q16947675
gynekolog;Q2640827
gynekoložka;Q2640827
hagiograf;Q17166634
hagiografka;Q17166634
harcovník;Q1481555
harfeník;Q3127709
harfistka;Q3127709
hasič;Q107711
hasička;Q107711
házenkář;Q12840545
házenkářka;Q12840545
hebraista;Q4988856
hebraistka;Q4988856
hematolog;Q3144914
hematoložka;Q3144914
hepatolog;Q30112358
hepatoložka;Q30112358
heraldička;Q516463
heraldik;Q516463
herec;Q33999
herečka;Q33999
hermetička;Q60286963
hermetik;Q60286963
herold;Q696819
herpetolog;Q16271064
herpetoložka;Q16271064
hispanista;Q2505739
hispanistka;Q2505739
histolog;Q2552072
histoložka;Q2552072
histopatolog;Q71050974
histopatoložka;Q71050974
historička;Q201788
historik;Q201788
hlasatel;Q1371925
hlasatelka;Q1371925
hobojista;Q16003954
hobojistka;Q16003954
hokejista;Q11774891
hokejistka;Q11774891
homeopat;Q12020057
hornista;Q19729565
hornistka;Q19729565
hoteliér;Q1631120
houslař;Q762707
houslista;Q1259917
houslistka;Q1259917
hrobník;Q537575
hudebnice;Q639669
hudebník;Q639669
humorista;Q12406482
humoristka;Q12406482
hungarista;Q49197733
hungaristka;Q49197733
hydrobiolog;Q16003980
hydrobioložka;Q16003980
hydrogeolog;Q35380338
hydrogeoložka;Q35380338
hydrograf;Q10295465
hydrografka;Q10295465
hydrolog;Q3644587
