_id,151a
ge117156,"Bučovice (Votice, Česko)"
ge117169,"Bučovice (Heřmanice, Havlíčkův Brod, Česko)"
ge117187,"Heřmanice (Liberec, Česko)"
ge117200,"Heřmanice (Náchod, Česko)"
ge117234,Krsy (Česko)
ge117288,"Skelná Huť (Krsy, Česko)"
ge117289,Jasło (Polsko : oblast)
ge117290,Czechowice-Dziedzice (Polsko)
ge117291,"Vranovice (Vranovice-Kelčice, Česko)"
ge117292,"Vavřinec (Kutná Hora, Česko)"
ge117319,Čestín (Česko)
ge117329,Mustang (Nepál : okres)
ge117336,Ufa (Rusko)
ge117349,Achaia (Řecko)
ge117350,Puščino (Rusko)
ge117362,"Rüdesheim (Porýní-Falc, Německo)"
ge117368,Głogów Małopolski (Polsko)
ge117372,Głogów (Polsko : oblast)
ge117373,"Hamry (Chrudim, Česko)"
ge117374,San José Mogote (Mexiko)
ge117380,Podstrana (Chorvatsko)
ge117397,Rostěnice-Zvonovice (Česko)
ge117416,Arkansas
ge117435,Česká Kamenice (Česko : oblast)
ge117438,"Konojedy (Praha-východ, Česko)"
ge117441,"Strahov (Praha, Česko)"
ge117443,Constanţa (Rumunsko)
ge117451,Soča (Slovinsko a Itálie : řeka : oblast)
ge117470,Přírodní rezervace Čepičná (Česko)
ge117471,"Čepičná (Šumava, Česko : hora)"
ge117473,Dolnorakousko-štýrské Alpy (Rakousko : pohoří)
ge117478,Fišbašské Alpy (Rakousko : pohoří)
ge117480,Cincinnati (Ohio)
ge117493,Plzeň 5-Křimice (Česko)
ge117501,Przyslop (Polsko)
ge117510,"Baraní hora (Oravské Beskydy, Polsko)"
ge117528,Plzeň 3 (Česko)
ge117535,Svatoborská vrchovina (Česko)
ge117555,"Pulčín (Francova Lhota, Česko)"
ge117557,Dolní Morava (Česko)
ge117570,Nitrianska pahorkatina (Slovensko)
ge117571,Podunajská pahorkatina (Slovensko)
ge117604,Nitrianska niva (Slovensko)
