_id,151a
ge336584,Vrana Palace (Bulharsko)
ge336587,Veliko Tărnovo (Bulharsko)
ge336596,Dříteň (Česko)
ge336597,"Malešice (Dříteň, Česko)"
ge336601,Rodná (Česko)
ge336602,Pojbuky (Česko)
ge336603,Zbytiny (Česko)
ge336606,Všemyslice (Česko)
ge336616,Knin (Chorvatsko)
ge336617,Knin (Chorvatsko : oblast)
ge336632,Sveti Vlas (Bulharsko)
ge336735,"Borčice (Dub, Prachatice, Česko)"
ge336736,"Borek (České Budějovice, Česko)"
ge336737,Borkovice (Česko)
ge336738,"Borová (Chvalšiny, Česko)"
ge336740,"Borovnice (České Budějovice, Česko)"
ge336741,Boršov (Česko : zaniklá obec)
ge336742,Boršov nad Vltavou (Česko)
ge336744,"Bořetín (Jindřichův Hradec, Česko)"
ge336745,"Bosna (Rapšach, Česko : ulice)"
ge336746,Bošice (Česko)
ge336747,Boudy (Česko)
ge336748,"Božejov (Žár, Česko)"
ge336749,"Božejovice (Jistebnice, Česko)"
ge336750,Božetice (Česko)
ge336751,"Brandlín (Tučapy, Tábor, Česko)"
ge336752,Branice (Česko)
ge336753,"Branišov (České Budějovice, Česko)"
ge336754,"Branná (Třeboň, Česko)"
ge336755,"Bratronice (Strakonice, Česko)"
ge336756,"Broučkova Lhota (Chotoviny, Česko)"
ge336757,Břehov (Česko)
ge336758,"Březí (Kamenný Újezd, České Budějovice, Česko)"
ge336759,"Březí (Strakonice, Česko)"
ge336760,"Březina (Jindřichův Hradec, Česko)"
ge336761,"Březnice (Tábor, Česko)"
ge336762,"Březová Lada (Horní Vltavice, Česko)"
ge336763,"Břilice (Třeboň, Česko)"
ge336764,"Budičovice (Skály, Písek, Česko)"
ge336765,"Budislav (Tábor, Česko)"
ge336766,Budíškovice (Česko)
ge336767,Budyně (Česko)
ge336768,"Buková (Olešnice, České Budějovice, Česko)"
ge336769,"Buková (Řemíčov, Česko)"
ge336770,"Bukovec (Kamenný Újezd, České Budějovice, Česko)"
ge336771,"Bukovsko (Malonty, Česko)"
ge336772,"Bukvice (Trhové Sviny, Česko)"
ge336773,Bušanovice (Česko)
ge336774,Buškův Hamr (Česko : technická památka)
ge336775,Buzice (Česko)
ge336776,"Byňov (Nové Hrady, České Budějovice, Česko)"
ge336777,"Bzí (Dolní Bukovsko, Česko)"
ge336778,Cerhonice (Česko)
ge336779,Cetviny (Česko : zaniklá obec)
ge336780,"Chabičovice (Mirkovice, Český Krumlov, Česko)"
ge336821,"Dub (Prachatice, Česko)"
ge336823,Rapšach (Česko)
ge336824,Žár (Česko)
ge336837,"Mirkovice (Český Krumlov, Česko)"
ge336846,Malonty (Česko)
ge336847,Řemíčov (Česko)
ge336848,"Skály (Písek, Česko)"
ge336849,Horní Vltavice (Česko)
ge336909,"Chlaponice (Drhovle, Česko)"
ge336910,"Chlum (Křemže, Česko)"
ge336911,"Chlum (Svatý Jan nad Malší, Česko)"
ge336912,"Chlum (Strakonice, Česko)"
ge336913,"Chlum (Volary, Česko)"
ge336914,"Chlum (Jistebnice, Česko)"
ge336915,Chlumany (Česko)
ge336917,"Chlumec (Olešník, Česko)"
ge336919,"Chmelná (Křemže, Česko)"
ge336920,"Chodeč (Velešín, Česko)"
ge336921,Chotěmice (Česko)
ge336922,Chotýčany (Česko)
ge336923,"Chrastiny (Dolní Novosedly, Česko)"
ge336924,Chrbonín (Česko)
ge336925,Chroboly (Česko)
ge336926,"Chřešťovice (Albrechtice nad Vltavou, Česko)"
ge336927,"Chvalešovice (Dříteň, Česko)"
ge336928,"Chvaletice (Protivín, Česko)"
ge336929,"Chvaletín (Písečné, Jindřichův Hradec, Česko)"
ge336936,Drhovle (Česko)
ge336940,Olešník (Česko)
ge336946,Dolní Novosedly (Česko)
ge336948,"Písečné (Jindřichův Hradec, Česko)"
ge337505,Nauru
ge337628,"Čejetice (Strakonice, Česko)"
ge337629,"Čejkovice (České Budějovice, Česko)"
ge337630,"Čekanice (Blatná, Strakonice, Česko)"
ge337631,"Čekanice (Tábor, Česko)"
ge337632,"Čelkovice (Tábor, Česko)"
ge337633,"Čenkov (Malšice, Česko)"
ge337634,Čenkov u Bechyně (Česko)
ge337635,Čepřovice (Česko)
ge337636,"Čeraz (Vesce, Tábor, Česko)"
ge337637,"Černá Lada (Borová Lada, Česko)"
ge337638,"Černětice (Volyně, Česko)"
ge337639,"Černice (Mojné, Česko)"
ge337640,"Černíkov (Droužetice, Česko)"
ge337641,"Černý Dub (Homole, České Budějovice, Česko)"
ge337642,Černýšovice (Česko)
ge337643,"Čertyně (Dolní Třebonín, Česko)"
ge337644,"Červené Záhoří (Chotoviny, Česko)"
ge337645,"Červený Dvůr (Chvalšiny, Česko)"
ge337646,"České Chalupy (Nová Ves, Český Krumlov, Česko)"
ge337647,"České Žleby (Stožec, Česko)"
ge337648,"Český Heršlák (Horní Dvořiště, Česko)"
ge337649,"Češnovice (Pištín, Česko)"
ge337650,"Číměř (Jindřichův Hradec, Česko)"
ge337651,Čížkrajice (Česko)
ge337652,Čížová (Česko)
ge337653,Čkyně (Česko)
ge337654,Člunek (Česko)
ge337655,"Čtyři Dvory (České Budějovice, Česko)"
ge337656,"Dachov (Vlachovo Březí, Česko)"
ge337657,"Daleké Popelice (Benešov nad Černou, Česko)"
ge337658,"Daskabát (Třeboň, Česko)"
ge337659,Dasný (Česko)
ge337660,"Děbolín (Jindřichův Hradec, Česko)"
ge337661,"Debrník (Hlavatce, Tábor, Česko)"
ge337662,"Dědice (Nemyšl, Česko)"
ge337663,"Dědičky (Nemyšl, Česko)"
ge337664,"Dehtáře (Žabovřesky, České Budějovice, Česko)"
ge337665,"Děkanské Skaliny (Benešov nad Černou, Česko)"
ge337666,"Desky (Malonty, Česko)"
ge337667,"Dešná (Jindřichův Hradec, Česko)"
ge337668,Dívčí Kopy (Česko)
ge337669,Dívčice (Česko)
ge337670,"Dlouhá Lhota (Tábor, Česko)"
ge337671,"Dlouhá Ves (Truskovice, Česko)"
ge337672,"Dluhoště (Benešov nad Černou, Česko)"
ge337673,"Dmýštíce (Milevsko, Česko)"
ge337674,"Dobčice (Záboří, České Budějovice, Česko)"
ge337675,Dobev (Česko)
ge337676,"Dobrá (Stožec, Česko)"
ge337677,"Dobrá Voda (Záblatí, Prachatice, Česko)"
ge337678,"Dobrá Voda (Číměř, Jindřichův Hradec, Česko)"
ge337679,"Dobrá Voda (Kovářov, Písek, Česko)"
ge337680,"Dobrkovská Lhotka (Slavče, České Budějovice, Česko)"
ge337681,"Dobrohošť (Jindřichův Hradec, Česko)"
ge337682,"Dobrošov (Hrazany, Písek, Česko)"
ge337683,"Dobřejovice (Hosín, Česko)"
ge337684,"Dobšice (České Budějovice, Česko)"
ge337685,"Dobšice (Bezdědovice, Česko)"
ge337686,"Dolní Chrášťany (Lhenice, Prachatice, Česko)"
ge337687,"Dolní Kněžeklady (Horní Kněžeklady, Česko)"
ge337688,"Dolní Lhota (Stráž nad Nežárkou, Česko)"
ge337689,"Dolní Miletín (Lišov, Česko)"
ge337690,"Tepenec (Domašovská vrchovina, Česko : hora)"
ge337691,Bučí (Česko : zaniklá obec)
ge337692,Bučina (Česko : zaniklá obec)
ge337693,"Bučina (Kvilda, Česko)"
ge337695,"Dolní Němčice (Dačice, Česko)"
ge337696,"Dolní Poříčí (Horní Poříčí, Strakonice, Česko)"
ge337697,"Dolní Skrýchov (Jindřichův Hradec, Česko)"
ge337698,"Dolní Stropnice (Římov, České Budějovice, Česko)"
ge337700,Dolní Třebonín (Česko)
ge337701,"Dolní Žďár (Jindřichův Hradec, Česko)"
ge337702,"Domanín (Jindřichův Hradec, Česko)"
ge337703,"Domoradice (Český Krumlov, Česko)"
ge337705,"Doubrava (Chrášťany, České Budějovice, Česko)"
ge337706,"Doubravka (Chrášťany, České Budějovice, Česko)"
ge337707,"Dráchov (Tábor, Česko)"
ge337708,"Drachkov (Strakonice, Česko)"
ge337709,"Drahenický Málkov (Blatná, Strakonice, Česko)"
ge337710,"Drahonice (Strakonice, Česko)"
ge337711,Drahotěšice (Česko)
ge337713,Dražíč (Česko)
ge337714,Dražičky (Česko)
ge337715,Drhovice (Česko)
ge337716,Droužetice (Česko)
ge337717,"Drslavice (Prachatice, Česko)"
ge337718,Drunče (Česko)
ge337719,Dubičné (Česko)
ge337720,Dubné (Česko)
ge337721,"Dvorce (Tučapy, Tábor, Česko)"
ge337722,"Dvorec (Borovany, České Budějovice, Česko)"
ge337723,"Dvoreček (Blažejov, Česko)"
ge337724,"Dvory (Prachatice, Česko)"
ge337725,Dvory nad Lužnicí (Česko)
ge337726,Dynín (Česko)
ge337727,Frahelž (Česko)
ge337728,"Františkov (Kvilda, Česko)"
ge337729,"Frantoly (Mičovice, Česko)"
ge337730,Frýdava (Česko : zaniklá obec)
ge337783,Horní Dvořiště (Česko)
ge337786,Pištín (Česko)
ge338201,Mojné (Česko)
ge338202,"Homole (České Budějovice, Česko)"
ge338203,Mičovice (Česko)
ge338204,Nil (řeka : oblast)
ge338205,"Nová Ves (Český Krumlov, Česko)"
ge338216,Nemyšl (Česko)
ge338217,"Žabovřesky (České Budějovice, Česko)"
ge338220,Truskovice (Česko)
ge338221,"Záboří (České Budějovice, Česko)"
ge338222,"Slavče (České Budějovice, Česko)"
ge338236,"Chrášťany (České Budějovice, Česko)"
ge338243,"Hrazany (Písek, Česko)"
ge338245,Horní Kněžeklady (Česko)
ge338247,Domašovská vrchovina (Česko)
ge338248,"Košice (Tábor, Česko)"
ge338249,"Jankov (České Budějovice, Česko)"
ge338258,Biosférická rezervace Dolní Morava (Česko)
ge338259,"Habří (České Budějovice, Česko)"
ge338260,"Hajany (Strakonice, Česko)"
ge338261,"Hájek (Strakonice, Česko)"
ge338262,"Hajská (Strakonice, Česko)"
ge338263,Halámky (Česko)
ge338264,"Hamr (Val, Tábor, Česko)"
ge338265,"Hamr (Jindřichův Hradec, Česko)"
ge338266,"Hartmanice (České Budějovice, Česko)"
ge338267,"Hartvíkov (Dolní Hořice, Česko)"
ge338268,"Heřmaň (Písek, Česko)"
ge338269,"Heřmaň (České Budějovice, Česko)"
ge338270,"Hladná (Albrechtice nad Vltavou, Česko)"
ge338271,"Hlavňov (Budislav, Tábor, Česko)"
ge338272,Hlincová Hora (Česko)
ge338273,"Hlinice (Tábor, Česko)"
ge338274,"Hlinsko (Rudolfov, České Budějovice, Česko)"
ge338275,"Hluboká (Dešná, Jindřichův Hradec, Česko)"
ge338276,"Hluboká u Borovan (Borovany, České Budějovice, Česko)"
ge338277,"Hněvkovice na levém břehu Vltavy (Týn nad Vltavou, Česko)"
ge338278,"Hodějov (Hoslovice, Česko)"
ge338279,"Hodonice (Tábor, Česko)"
ge338280,"Hojná Voda (Horní Stropnice, Česko)"
ge338281,"Holičky (Třeboň, Česko)"
ge338282,"Holkov (Velešín, Česko)"
ge338283,Holubov (Česko)
ge338284,"Holubovská Bašta (Čakov, České Budějovice, Česko)"
ge338285,"Holušice (Sedlice, Strakonice, Česko)"
ge338286,"Horní Bukovsko (Dolní Bukovsko, Česko)"
ge338287,"Horní Dvorce (Zahrádky, Jindřichův Hradec, Česko)"
ge338288,"Horní Olešná (Popelín, Česko)"
ge338289,Horní Pěna (Česko)
ge338290,"Horní Poříčí (Strakonice, Česko)"
ge338291,Horní Radouň (Česko)
ge338292,Horní Skrýchov (Česko)
ge338293,Horní Slatina (Česko)
ge338294,"Horní Sněžná (Chlum, Volary, Česko)"
ge338299,"Val (Tábor, Česko)"
ge338305,Centrální Alpy krystalické (pohoří)
ge338306,Rétské Alpy (pohoří)
ge338307,Bernina (Itálie a Švýcarsko : pohoří)
ge338311,Hoslovice (Česko)
ge338313,"Sedlice (Strakonice, Česko)"
ge338318,Otmarov (Česko)
ge338361,"Horní Třebonín (Dolní Třebonín, Česko)"
ge338362,"Horní Žďár (Jindřichův Hradec, Česko)"
ge338363,"Horosedly (Písek, Česko)"
ge338364,"Horosedly (Čkyně, Česko)"
ge338365,"Horouty (Husinec, Prachatice, Česko)"
ge338367,Hospříz (Česko)
ge338368,Hosty (Česko)
ge338369,"Hradce (České Budějovice, Česko)"
ge338370,"Hrádek (Trhové Sviny, Česko)"
ge338371,"Hradiště (Nová Bystřice, Česko)"
ge338372,"Hradiště (Písek, Česko)"
ge338373,"Hrachoviště (Jindřichův Hradec, Česko)"
ge338374,"Hrdlořezy (Suchdol nad Lužnicí, Česko)"
ge338375,"Hroby (Radenín, Česko)"
ge338376,"Hrudkov (Vyšší Brod, Česko)"
ge338377,Hruštice (Česko : zaniklá obec)
ge338378,"Hrutov (Lišov, Česko)"
ge338379,"Hubenov (Kaplice, Český Krumlov, Česko)"
ge338380,"Hůrky (Nová Bystřice, Česko)"
ge338381,Hůry (Česko)
ge338382,Huť pod Boubínem (Česko : zaniklá obec)
ge338383,"Hutě (Černýšovice, Česko)"
ge338384,"Hvozdec (České Budějovice, Česko)"
ge338385,"Hvožďany (Bechyně, Česko)"
ge338386,"Jakule (Byňov, Nové Hrady, České Budějovice, Česko)"
ge338387,"Jáma (Mičovice, Česko)"
ge338388,"Jamné (Boršov nad Vltavou, Česko)"
ge338389,"Janské Údolí (Brloh, Český Krumlov, Česko)"
ge338390,"Jaronice (Dubné, Česko)"
ge338391,"Jaronín (Brloh, Český Krumlov, Česko)"
ge338392,"Jaroslavice (Hluboká nad Vltavou, Česko)"
ge338393,Jarošov nad Nežárkou (Česko)
ge338394,"Jarotice (Mirotice, Písek, Česko)"
ge338396,"Jehnědno (Albrechtice nad Vltavou, Česko)"
ge338397,"Jelení (Nová Pec, Česko)"
ge338398,"Jemnice (Osek, Strakonice, Česko)"
ge338399,Jetětice (Česko)
ge338400,Jickovice (Česko)
ge338401,"Jilem (Jindřichův Hradec, Česko)"
ge338402,"Jílovice (České Budějovice, Česko)"
ge338403,"Jindřiš (Rodvínov, Česko)"
ge338404,"Jistebník (Čeřín, Rožmitál na Šumavě, Česko)"
ge338405,Jivno (Česko)
ge338408,Rodvínov (Česko)
ge338419,Rožmitál na Šumavě (Česko)
ge338420,"Čeřín (Rožmitál na Šumavě, Česko)"
ge338469,Kačlehy (Česko)
ge338470,Kalenice (Česko)
ge338471,"Kaletice (Radomyšl, Česko)"
ge338472,"Kakovice (Mirovice, Česko)"
ge338473,"Kaliště (České Budějovice, Česko)"
ge338474,"Kaliště (Bohdalovice, Český Krumlov, Česko)"
ge338475,"Kaliště (Nadějkov, Česko)"
ge338476,"Kaliště u Lipí (Lipí, České Budějovice, Česko)"
ge338477,"Kamenná (České Budějovice, Česko)"
ge338478,Kamenný Malíkov (Česko)
ge338479,"Kaplice-nádraží (Střítež, Český Krumlov, Česko)"
ge338480,"Kapličky (Loučovice, Česko)"
ge338481,"Kaproun (Kunžak, Česko)"
ge338482,"Karlov (Smetanova Lhota, Česko)"
ge338483,"Kášovice (Řepeč, Česko)"
ge338484,"Katov (Tábor, Česko)"
ge338485,"Keblany (Slavče, České Budějovice, Česko)"
ge338486,"Kladiny (Římov, České Budějovice, Česko)"
ge338487,"Kladné (Kájov, Česko)"
ge338488,"Kladruby (Strakonice, Česko)"
ge338489,"Kladruby (Dolní Hořice, Česko)"
ge338490,"Klášterec (Vimperk, Česko)"
ge338491,"Klečaty (Zálší, Tábor, Česko)"
ge338492,"Klení (Benešov nad Černou, Česko)"
ge338493,"Klikov (Suchdol nad Lužnicí, Česko)"
ge338494,"Kněžské Dvory (České Budějovice, Česko)"
ge338495,Kocelovice (Česko)
ge338496,"Kočín (Temelín, Česko)"
ge338497,"Kojákovice (Jílovice, České Budějovice, Česko)"
ge338498,"Kolný (Lišov, Česko)"
ge338499,Komařice (Česko)
ge338500,"Kondrač (Kamenná, České Budějovice, Česko)"
ge338501,"Koryto (Zbytiny, Česko)"
ge338502,Kořensko (Česko : zaniklá obec)
ge338583,"Lipí (České Budějovice, Česko)"
ge338586,"Střítež (Český Krumlov, Česko)"
ge338589,Smetanova Lhota (Česko)
ge338590,Řepeč (Česko)
ge338598,"Zálší (Tábor, Česko)"
ge338640,České Budějovice 7 (Česko)
ge338641,České Budějovice 3 (Česko)
ge338642,České Budějovice 5 (Česko)
ge338644,"Dobrá Voda (Mrákotín, Jihlava, Česko)"
ge338647,"Mrákotín (Jihlava, Česko)"
ge338648,"Mrákotín (Chrudim, Česko)"
ge338649,Násedlovice (Česko)
ge338666,"Horšov (Horšovský Týn, Česko)"
ge338667,"Krukanice (Pernarec, Česko)"
ge338668,"Švabín (Zbiroh, Česko)"
xx0043120,Jouy-en-Josas (Francie)
ge338753,"Kosov (Kamenný Újezd, České Budějovice, Česko)"
ge338754,"Kostelec (Hluboká nad Vltavou, Česko)"
ge338755,Kostelec nad Vltavou (Česko)
ge338756,Kostelní Radouň (Česko)
ge338757,Košín (Česko)
ge338758,"Kovanín (Zálezly, Prachatice, Česko)"
ge338759,"Králova Lhota (Písek, Česko)"
ge338760,"Kramolín (Jílovice, České Budějovice, Česko)"
ge338761,"Kramolín (Lipno nad Vltavou, Česko)"
ge338762,"Krasejovka (Kamennný Újezd, České Budějovice, Česko)"
ge338763,Kraselov (Česko)
ge338764,"Krasetín (Holubov, Česko)"
ge338765,Krašlovice (Česko)
ge338766,"Krašovice (Čížová, Česko)"
ge338767,Krátošice (Česko)
ge338768,Kratušín (Česko)
ge338769,Krejnice (Česko)
ge338770,"Krnín (Chlumec, Český Krumlov, Česko)"
ge338771,"Krtely (Malovice, Prachatice, Česko)"
ge338772,Krtov (Česko)
ge338773,"Křenovice (Dubné, Česko)"
ge338774,"Křenovice (Písek, Česko)"
ge338775,"Křesanov (Vimperk, Česko)"
ge338776,"Křepice (Stožice, Česko)"
ge338777,Křesín (Česko : zaniklá obec)
ge338778,Křišťanov (Česko)
ge338779,"Křižanov (Písek, Česko)"
ge338780,"Křtěnov (Temelín, Česko)"
ge338781,"Křtětice (Vodňany, Česko)"
ge338782,Ktiš (Česko)
ge338783,Kubova Huť (Česko)
ge338784,Kučeř (Česko)
ge338785,"Kuklov (Brloh, Český Krumlov, Česko)"
ge338786,"Kunějov (Člunek, Česko)"
ge338787,Kváskovice (Česko)
ge338788,"Květoňov (Kaplice, Český Krumlov, Česko)"
ge338789,Květov (Česko)
ge338790,"Kvítkovice (České Budějovice, Česko)"
ge338797,"Zálezly (Prachatice, Česko)"
ge338811,"Malovice (Prachatice, Česko)"
ge338826,Stožice (Česko)
ge338830,Porýnská břidličná vrchovina (Německo)
ge338846,Moravské vinařské stezky (Česko : cyklistické trasy)
ge338847,Brněnská vinařská stezka (Česko : cyklistická trasa)
ge338848,Mikulovská vinařská stezka (Česko : cyklistická trasa)
ge338849,"Kyselov (Černá v Pošumaví, Česko)"
ge338850,"Lahuť (Mokrý Lom, Česko)"
ge338851,"Landštejn (Staré Město pod Landštejnem, Česko)"
ge338852,Lásenice (Česko)
ge338853,"Lašovice (Kovářov, Písek, Česko)"
ge338854,"Lázně svaté Markéty (Prachatice, Česko)"
ge338855,"Lažánky (Strakonice, Česko)"
ge338856,"Lažiště (Prachatice, Česko)"
ge338857,Lčovice (Česko)
ge338858,"Lékařova Lhota (Sedlec, České Budějovice, Česko)"
ge338859,"Leopoldov (Pohorská Ves, Česko)"
ge338860,"Leptač (Chroboly, Česko)"
ge338861,"Leskovice (Radomyšl, Česko)"
ge338862,"Lety (Písek, Česko)"
ge338863,"Levín (Lišov, Česko)"
ge338864,"Lhota (Dynín, Česko)"
ge338865,"Lhota pod Kůstrým (Nová Ves, Strakonice, Česko)"
ge338866,"Lhota (Mladošovice, Česko)"
ge338867,"Lhota (Číměř, Jindřichův Hradec, Česko)"
ge338868,"Lhota nad Rohanovem (Vacov, Česko)"
ge338869,"Lhota u Kestřan (Kestřany, Česko)"
ge338870,"Lhota u Svaté Anny (Kraselov, Česko)"
ge338871,"Lhotice (Lišov, Česko)"
ge338872,"Lhotka (Olešnice, České Budějovice, Česko)"
ge338873,"Lhotka (Křemže, Česko)"
ge338874,Libějice (Česko)
ge338875,"Libětice (Strakonice, Česko)"
ge338876,"Libín (České Budějovice, Česko)"
ge338877,"Libotyně (Radhostice, Česko)"
ge338878,"Ličov (Benešov nad Černou, Česko)"
ge338879,"Lipka (Vimperk, Česko)"
ge338880,Lipovice (Česko)
ge338881,"Líšnice (Hluboká nad Vltavou, Česko)"
ge338882,"Líšnice (Sepekov, Česko)"
ge338883,"Litoradlice (Temelín, Česko)"
ge338884,Litvínovice (Česko)
ge338886,Radhostice (Česko)
ge338887,Mokrý Lom (Česko)
ge338898,"Sedlec (České Budějovice, Česko)"
ge338899,Mladošovice (Česko)
ge338900,Pohorská Ves (Česko)
ge338901,"Nová Ves (Strakonice, Česko)"
ge338917,Liptov (Slovensko)
ge338926,Aquileia (Itálie)
ge338928,Středoněmecká vysočina (Německo)
xx0043244,Sozopol (Bulharsko)
ge338960,Westerland (Německo)
ge338961,"Poppenbüttel (Hamburk, Německo)"
ge338962,"Petrovice (Měčín, Česko)"
ge338963,Leukerbad (Švýcarsko)
ge338964,Francký les (Německo : pohoří)
ge338965,Schönsee (Německo)
ge338966,Přírodní park Frankenwald (Německo)
ge338967,Jever (Německo)
ge338968,Münsterland (Německo)
ge338969,Münster in Westfalen (Německo : oblast)
ge338970,Zabergäu (Německo)
ge338971,Rosental (Rakousko : oblast)
ge338972,"Oprechtice (Zahořany, Domažlice, Česko)"
ge338973,"Borek (Kozojedy, Plzeň-sever, Česko)"
ge338974,Wittmund (Německo)
ge338975,"Carolinensiel (Wittmund, Německo)"
ge338976,Hann. Münden (Německo)
ge338977,"Červený most (Klášter, Plzeň-jih, Česko)"
ge338978,"Horní Metelsko (Horšovský Týn, Česko)"
ge338979,"Hašov (Horšovský Týn, Česko)"
ge338980,"Letná (Plzeň, Česko)"
ge338981,"Libosváry (Vidice, Domažlice, Česko)"
ge338983,Paderborn (Německo : oblast)
ge338984,Altmark (Německo)
ge338985,"Starý Spálenec (Česká Kubice, Česko)"
ge338986,"Úhošť (Doupovské hory, Česko : hora)"
ge338987,Národní přírodní rezervace Úhošť (Česko)
ge338988,Úhošť (Česko : naučná stezka)
ge338989,"Starý Klíčov (Mrákov, Česko)"
ge338990,"Velký Zvon (Český les, Česko : hora)"
ge338991,"Bernartice (Stráž, Tachov, Česko)"
ge338992,"Bernartice (Stráž, Tachov, Česko : oblast)"
ge338993,"V Březince (Český les, Česko : vrch)"
ge338994,"Radobyčice (Plzeň, Česko)"
ge338995,Naučná stezka Proměna horské smrčiny (Česko)
ge338996,"Homolka (Plzeň, Česko)"
ge338997,Homolka (Česko : naučná stezka)
ge338998,"Světovar (Plzeň, Česko)"
ge338999,Přírodní rezervace Zbynické rybníky (Česko)
ge339000,"Červený Hrádek (Jindřichův Hradec, Česko)"
ge339001,Bečváry (Česko)
ge339002,"Červený Hrádek (Bečváry, Česko)"
ge339003,Nalžovice (Česko)
ge339004,Nýrsko (Česko : vodní nádrž)
ge339005,Pernink (Česko : oblast)
ge339006,Přírodní rezervace Oceán (Česko)
ge339007,Cheznovice (Česko)
ge339008,Llanos (Venezuela a Kolumbie)
ge339009,Orinoko (Venezuela a Kolumbie : řeka : oblast)
ge339010,Mosty u Jablunkova (Česko : oblast)
ge339011,Jablunkovský průsmyk (Česko a Slovensko)
ge339012,Přírodní památka Viklan (Česko)
ge339013,"Rybničná (Bochov, Česko)"
ge339014,Hřebeny (Česko : pohoří)
ge339015,Odenwald (Německo : pohoří)
ge339016,Naturpark Bergstraße-Odenwald (Německo)
ge339017,Odenwald (Německo : okres)
ge339018,Berliner Umland (Německo)
ge339019,Rhön (Německo : pohoří)
ge339020,Cardiff (Wales)
ge339021,Naučná stezka Chanovice - příroda a lesy Pošumaví (Česko)
ge339022,"Číčov (Spálené Poříčí, Česko)"
ge339023,Rakovnická pahorkatina (Česko)
ge339024,"Chlumská hora (Rakovnická pahorkatina, Česko)"
ge339025,"Doubská hora (Karlovy Vary, Česko)"
ge339026,"Milešovka (České středohoří, Česko : hora : oblast)"
ge339027,"Lány (Kladno, Česko : oblast)"
ge339028,"Balková (Tis u Blatna, Česko)"
ge339029,"Velké Dvorce (Přimda, Česko)"
ge339030,Naarden (Nizozemsko)
ge339031,"Plechý (Šumava, Česko a Rakousko : hora)"
ge339032,Přírodní rezervace Herštýn (Česko)
ge339033,Naučná stezka Duch pralesa (Česko)
ge339034,Přírodní rezervace Pleš (Česko)
ge339035,"Malá ulice (Plzeň, Česko)"
ge339036,Přírodní památka Údolí Ohře (Česko)
ge339037,Královské Poříčí (Česko : oblast)
ge339038,"Staré Sedlo (Sokolov, Česko : oblast)"
ge339039,Plzeň-České Velenice (Česko : železniční trať)
ge339040,"Křenovy (Domažlice, Česko)"
ge339041,"Hradiště (Plzeň, Česko)"
ge339042,Plzeň-Česká Kubice (Česko : železniční trať)
ge339043,Přírodní památka Olšová vrata (Česko)
ge339044,"Olšová Vrata (Karlovy Vary, Česko)"
ge339045,Kyselka (Česko : oblast)
ge339046,"Luhov (Líšťany, Plzeň-sever, Česko)"
ge339047,Naučná stezka Za přírodou a historií Radnicka (Česko)
ge339048,Angers (Francie)
ge339049,Kristianstad (Švédsko)
ge339050,"Meluzína (Krušné hory, Česko : hora)"
ge339051,"Mnichov (Domažlice, Česko)"
ge339052,"Vranov (Mnichov, Domažlice, Česko)"
ge339053,"Vránov (Staňkov, Domažlice, Česko)"
ge339054,"Branišov (Kdyně, Česko)"
ge339055,Skalky skřítků (Česko : národní přírodní památka)
ge339056,"Chodovská Huť (Tři Sekery, Česko)"
ge339057,"Nová Hospoda (Bor, Tachov, Česko)"
ge339058,"Hráz (Měčín, Česko)"
ge339059,"Třebýcina (Měčín, Česko)"
ge339060,Pňovany-Bezdružice (Česko : železniční trať)
ge339061,Obytce (Česko)
ge339062,"Svatá Kateřina (Rozvadov, Česko)"
ge339063,Bdeněves (Česko)
ge339064,"Dolní Lhota (Janovice nad Úhlavou, Česko)"
ge339065,"Jedlina (Tachov, Česko : zaniklá obec)"
ge339066,"Červená (Kašperské Hory, Česko)"
ge339067,"Lomany (Plasy, Česko)"
ge339068,"Prenet (Šumava, Česko : hora)"
ge339069,"Lomnička (Plasy, Česko)"
ge339070,"Klimentov (Velká Hleďsebe, Česko)"
ge339071,"Hálkova ulice (Plzeň, Česko)"
ge339072,"Bezručova ulice (Plzeň, Česko)"
ge339073,"Kundratice (Hartmanice, Klatovy, Česko)"
ge339074,"Prašný Újezd (Mlečice, Česko)"
ge339075,Aliano (Itálie)
ge339076,Lubenec (Česko : oblast)
ge339077,Kapucínské skály (Česko)
ge339078,"Kapucín (Kapucínské skály, Česko : skála)"
ge339079,"Babina (Plasy, Česko)"
ge339080,Ovčín u Radnic (Česko : paleontologická lokalita)
ge339081,Veliki Zdenci (Chorvatsko)
ge339082,Mali Zdenci (Chorvatsko)
ge339083,"Františkánská ulice (Plzeň, Česko)"
ge339084,Hradec nad Moravicí (Česko : oblast)
ge339085,Bílá Desná (Česko : řeka)
ge339086,Dolní Lazy (Česko : zaniklá obec)
ge339087,Horní Lazy (Česko : zaniklá obec)
ge339088,"Lukavice (Strážov, Česko)"
ge339089,"Rokyta (Srní, Klatovy, Česko)"
ge339090,Drnový potok (Česko)
ge339091,Těně (Česko)
ge339092,"Březina (Vyškov, Česko)"
ge339093,"Tuněchody (Kladruby, Tachov, Česko)"
ge339094,Volary (Česko : oblast)
ge339095,Gloucestershire (Anglie : hrabství)
ge339097,"Planá (Hromnice, Česko)"
ge339098,"Částkov (Petrovice u Sušice, Česko)"
ge339099,"Bažantnice (Dražeň, Česko)"
ge339100,Dašice (Česko)
ge339101,"Prachovice (Dašice, Česko)"
ge339102,Senecký rybník (Česko)
ge339103,"Masarykův most (Plzeň, Česko)"
ge339105,"Na Belánce (Plzeň, Česko : ulice)"
