place,QID
Rokytnici u Přerova,Q1783040
Rostocku,Q2861
Roztokách u Jilemnice,Q1869812
Rudolfově,Q1713787
Rychvaldě,Q1018854
Řevnici,Q386858
Sedlici u Blatné,Q742108
Sieně,Q2751
Skryjích u Rakovníka,Q2703948
Slatinách u Jičína,Q593451
Slavětíně u Litovle,Q1782089
Slušovicích,Q597011
Snině,Q754788
Souši u Mostu,Q1533805
Spytihněvi,Q2002940
Stachách,Q132422
Starém Jičíně,Q2701664
Starém Kolíně,Q1833736
Stodu u Plzně,Q1011066
Středoklukách,Q2659679
Studenci u Jilemnice,Q749597
Sudoměřicích u Bechyně,Q513670
Suchém Vrbném u Českých Budějovic,Q8311207
Svitávce u Boskovic,Q2304969
Svitavech,Q755698
Štěkni u Strakonic,Q392571
Štětí,Q392624
Tbilisi,Q994
Topolné,Q2303704
Troubelicích,Q1782278
Třebovli u Kouřimi,Q2185325
Tunisu,Q3572
Tvarožné,Q1789630
Újezdě nad lesy,Q2467285
Újezdě u Hořovic,Q2151516
Určicích u Prostějova,Q2637793
Vápenném Podole,Q518664
Velké Polomi,Q2128920
Velkém Poříčí,Q2304956
Velkých Svatoňovicích,Q2304993
Vidči,Q1021933
Vlkově u Jaroměře,Q981100
Vojkově,Q145096
Vojnově Městci,Q1948479
Vrahovicích,Q1023574
Vrdech,Q2232024
Vřesovicích u Prostějova,Q1968817
Zadaru,Q3370
Zásmukách u Kolína,Q247006
Zubří u Rožnova pod Radhoštěm,Q227614
Žeranovicích u Holešova,Q2194572
Žilově,Q2614899
Alžíru,Q3561
Avignonu,Q6397
Bánově,Q1018837
Bardejově,Q27007
Bavorovicích,Q8553083
Bělé u Jevíčka,Q1022066
Bernarticích u Tábora,Q823134
Bílé Třemešné u Dvora Králové,Q1019542
Bohosudově,Q160720
Bohutíně u Příbrami,Q2174081
Bojnicích,Q788753
Boršově u Kyjova,Q11233838
Bozkově u Semil,Q761586
Božejově u Pelhřimova,Q896370
Božkově u Plzně,Q11241487
Brezové pod Bradlom,Q135818
Broumech,Q990971
Bruzovicích,Q931203
Brzicích,Q238647
Břežanech u Kralovic,Q673345
Budišově u Třebíče,Q1001489
Budyšíně,Q14835
Butovicích,Q11706195
Bystré u Poličky,Q637024
Byšicích,Q2330700
Cieszyně,Q321197
Citolibech u Loun,Q900615
Čehovicích u Prostějova,Q2520921
Čechticích,Q2704927
Černé hoře u Blanska,Q339213
České Bělé,Q2395486
Čkyni,Q341607
Dijonu,Q7003
Dlouhé Třebové,Q2304202
Dnešicích u Přeštic,Q1232960
Dobré Vodě u Pelhřimova,Q601480
Dolní Čermné,Q251420
Dolní Krči,Q71976699
Dolní Lukavici,Q2524449
Dolní Rovni,Q2355523
Dolních Bojanovicích,Q1948549
Dolních Loučkách,Q1236134
Dolním Jiřetíně,Q1236076
Dolním Kubíně,Q589309
Drahonicích u Vodňan,Q909634
Drysicích u Vyškova,Q1261650
Dřetovicích,Q751525
Dubu nad Moravou,Q1262812
Dymokurech,Q1268826
Dýšině,Q2282099
Dýšině u Plzně,Q2282099
Edmontonu,Q2096
Ervěnicích,Q1362616
Falknově,Q11989848
Frývaldově,Q954611
Greifswaldu,Q4098
Habrech u Čáslavi,Q1566973
Hluboši,Q2490495
Hluchově u Prostějova,Q2265646
Horkách nad Jizerou,Q1276737
Horních Vilémovicích u Třebíče,Q209656
Horním Benešově,Q1628630
Horoměřicích,Q2625864
Hořepníku u Pacova,Q640249
Hořiněvsi,Q1632205
Hrubčicích u Prostějova,Q2637833
Hrubé Vrbce,Q663980
Hrusicích,Q2505700
Hrušovanech u Brna,Q1632517
Hředlích u Rakovníka,Q2282939
Hřivicích u Loun,Q2702589
Hudlicích,Q1906392
Choceradech,Q2626494
Chodově,Q3499395
Chudenicích u Klatov,Q2503857
Chvalšinách,Q1090156
Jaroměřicích,Q2351819
Jarošově nad Nežárkou,Q1683695
Jelšavě,Q846853
Jiřetíně pod Jedlovou,Q164471
Johannesburgu,Q34647
Kácově,Q1932183
Kácově nad Sázavou,Q1932183
Kamenném Újezdě u Českých Budějovic,Q1306068
Klobukách u Slaného,Q630542
Klokotech u Tábora,Q12029417
Kobylí,Q1023865
Kokorách u Přerova,Q928299
Konárovicích u Kolína,Q301178
Konicích,Q1781657
Korměříži,Q158239
Košťanech u Teplic,Q1430746
Kralupech,Q987496
Krnsku,Q1925279
Krompachách,Q842018
Krompachoch,Q842018
Krumvíři,Q1008603
Křelově u Olomouce,Q11752207
Křenovicích u Kojetína,Q942058
Křenovicích u Slavkova,Q1789694
Kunovicích u Uherského Hradiště,Q175197
Kylešovicích u Opavy,Q12032116
Lausanne,Q807
Lelekovicích,Q672477
Lešně,Q52892
Levici,Q506693
Liběchově,Q1823216
Libereci,Q146351
Libici nad Cidlinou,Q1013892
Lisabonu,Q597
Líšni,Q11341807
Litni,Q1428359
Loučeni u Nymburka,Q1872371
Lukách nad Jihlavou,Q1302045
Lužci nad Vltavou,Q2310309
Lužné u Rakovníka,Q1878490
Magdeburgu,Q1733
Machově,Q1882745
Malenovicích u Zlína,Q12034978
Malšicích u Tábora,Q2735270
Mantově,Q12035210
Mariánských Horách,Q846797
Martínkově,Q166076
Miličíně,Q631813
Miličíně u Tábora,Q631813
Milkově,Q12037425
Miloticích u Kyjova,Q1439658
Miroticích u Písku,Q1641811
Mladcové u Zlína,Q12038262
Moravských Knínicích,Q1947253
Moravských Málkovicích,Q176052
Mořkově,Q671138
Motyčíně,Q28974166
Mratíně,Q743610
Načeradci,Q534267
Návsí,Q2006359
Nechanicích u Hradce Králové,Q1756908
Netvořicích,Q2190166
Nové Cerekvi,Q604266
Nové Vsi nad Popelkou,Q955163
Novom Meste nad Váhom,Q376987
Nových Mitrovicích,Q1692107
Nových Syrovicích,Q165990
Nýrsku,Q1756903
Oplocanech u Přerova,Q1371489
Ořechově u Brna,Q964057
Ořechu u Prahy,Q2377065
Oseku u Rokycan,Q2291153
Oslavanech u Brna,Q1756935
Osoblaze,Q2034487
Ostrovačicích,Q2003039
Ostrově u Macochy,Q2035980
Osvračíně,Q2073486
Ottawě,Q1930
Polance nad Odrou,Q3566345
Poleni,Q2101265
Poniklé,Q2140689
Postřekově,Q2030427
Poznani,Q268
Pozořicích,Q2067672
Praskačce u Hradce Králové,Q1927771
Prievidzi,Q208750
Předměřicích nad Labem,Q1808499
Přešticích u Plzně,Q1020874
Příboru na Moravě,Q654019
Ptení u Plumlova,Q2612466
Pukanci,Q285486
Pyšelích,Q668247
Radeníně u Tábora,Q2214068
Rajci,Q909333
Raškovicích,Q373060
Ratajích u Kroměříže,Q733314
Revúce,Q847213
Rotterdamu,Q34370
Rožďalovicích u Jičína,Q2003956
Říčanech u Brna,Q387004
Sádku u Poličky,Q41200
Salzburku,Q34713
Sánech,Q2063983
Semtěši u Čáslavi,Q2426811
Sklenařicích,Q12054451
Skrbeni,Q1968612
Slatinicích u Olomouce,Q1782265
Sloupnici u Litomyšle,Q2067993
Smržicích u Prostějova,Q2065793
Splitu,Q1663
Starém Bydžově,Q1581200
Starovičkách,Q1023868
Starých Benátkách,Q12056184
Stonavě,Q2000659
Stropkově,Q750413
Střelských Hošticích,Q645071
Stříteži nad Bečvou,Q596668
Svatém Kopečku u Olomouce,Q1419130
Svébohově,Q1809699
Škvorci u Českého Brodu,Q2038193
Špindlerově Mlýně,Q392285
Štěnovicích u Plzně,Q260233
Štítině u Opavy,Q392532
Šumvaldu,Q392688
Šuranech,Q392704
Švermově,Q10502994
Teheránu,Q3616
Topolčanech,Q750423
Trhanově u Domažlic,Q1921720
Třeběticích u Holešova,Q968759
Týnci nad Sázavou,Q1852569
Úbislavicích u Nové Paky,Q2700529
Uherském Brodu,Q664895
Uhrovci,Q749646
Uhřínově u Velkého Meziříčí,Q2064019
Úsobí u Havlíčkova Brodu,Q158969
Valašské Bystřici,Q1021704
Valencii,Q8818
Varně,Q6506
Velehradě,Q1004655
Veliši u Jičína,Q2065507
Velkých Opatovicích,Q1422132
Vendryni,Q1727871
Venezuele,Q717
Vinoři,Q3563089
Vnorovech,Q605873
Volduchách u Rokycan,Q788187
Vranově nad Topľou,Q842005
Vratimově,Q1575979
Vrbně pod Pradědem,Q158435
Vysokém Chlumci,Q1014449
Wiesbadenu,Q1721
Zábřeze,Q246634
Zádveřicích,Q10861730
Zahrádce u Ledče nad Sázavou,Q144213
Zbyslavi u Čáslavi,Q10857418
Zlatých Horách,Q207222
Zlatých Moravciach,Q207226
Zvoleněvsi,Q2241218
Zvolenské Slatině,Q231435
Ždánicích u Kyjova,Q393439
Želnavě,Q393773
Žeravicích,Q2701044
Albrechtičkách,Q1321742
Ambergu,Q7042
Anconě,Q3415
Baku,Q9248
Bangladéši,Q902
Bardějově,Q27007
Bartovicích,Q3489759
Bašce,Q812761
Batelově u Jihlavy,Q2527033
Bedihošti,Q813905
Bechlíně,Q2448897
Bělkovicích,Q33061371
Bělohradě u Nové Paky,Q1017287
Bělovsi,Q11706779
Benešově nad Ploučnicí,Q817141
Bergenu,Q26793
Běštíně u Hořovic,Q2568479
Bílovicích nad Svitavou,Q389988
Bílovicích u Uherského Hradiště,Q784594
Birminghamu,Q2256
Blatci u Olomouce,Q1782674
Blížkovicích,Q2626377
Boloni,Q1891
Bolzanu,Q6526
Bombaji,Q1156
Borkovanech,Q586089
Borové u Přibyslavi,Q774837
Boršicích,Q894334
Bozkově,Q761586
Bozkově v Podkrkonoší,Q761586
Božeticích u Milevska,Q691327
Brezne,Q465312
Brodcích nad Jizerou,Q2473281
Brooklynu,Q18419
Brušperku u Ostravy,Q994946
Bříze u Hradce Králové,Q11707039
Budyni,Q851484
Buchlovicích u Uherského Hradiště,Q998679
Byšicích u Mělníka,Q2330700
Cerekvici nad Loučnou,Q2350277
Cerhenicích,Q2412555
Cetechovicích,Q612360
Citově u Přerova,Q1093470
Čejči u Hodonína,Q2641539
Čelčicích u Prostějova,Q966096
Černčicích u Loun,Q339627
Černé Hoře na Moravě,Q339213
Černé Hoře u Brna,Q339213
Černožicích nad Labem,Q2700121
Července,Q339735
Červené Řečici u Pelhřimova,Q339862
Červené Vodě,Q339857
České republice,Q213
Českém Šternberku,Q341345
Českých Žlebech,Q11292217
Daňkovicích,Q1179359
Darmstadtu,Q2973
Debři u Mladé Boleslavi,Q11774507
Deggendorfu,Q16083
Děhylově,Q2524209
Denveru,Q16554
Deštné u Soběslavi,Q1207480
Dírné,Q1270825
Dnešicích,Q1232960
Dobré Vodě u Českých Budějovic,Q1233631
Dobré Vodě u Hořic,Q2648623
Dobřívi,Q1233675
Doksanech,Q1235033
Dolní Bečvě,Q637731
Dolní Kalné u Nové Paky,Q1236092
Dolní Poustevně,Q1236197
Dolních Dunajovicích,Q1023844
Dolních Otaslavicích u Prostějova,Q80781349
Dolních Studénkách na Šumpersku,Q1236223
Dolním Újezdě u Litomyšle,Q2350651
Držkově u Semil,Q1261853
Dubé,Q1263301
Dubrovníku,Q1722
Dunajské Strede,Q646393
Ejpovicích,Q783610
Frankfurtu nad Odrou,Q4024
Frýdštejně,Q1358148
Fryštáku u Holešova,Q1471150
Galantě,Q460767
Garmisch,Q127043
Giessenu,Q3874
Göteborgu,Q25287
Granadě,Q8810
Grygově,Q1551174
Grygově u Olomouce,Q1551174
Günzburgu,Q489685
Halenkovicích,Q730509
Halle an der Saale,Q2814
Hanušovicích,Q691467
Havaně,Q1563
Havlíčkově Borové,Q774837
Heidelberku,Q2966
Hejčíně,Q9287231
Hlubokých Mašůvkách,Q2521022
Hodníně,Q321778
Holici u Olomouce,Q9293339
Horní Radechové,Q1628753
Horní Radechové u Náchoda,Q1628753
Horní Rovni,Q12020252
Horním Dvořišti,Q1628656
Horním Údolí,Q9293858
Horním Údolí u Zlatých Hor,Q9293858
Hoříně,Q615347
Hostimi u Moravských Budějovic,Q1630615
Hošťálkové,Q1022334
Hovězím u Vsetína,Q1022360
Hovoranech,Q2623794
Hrabačově,Q12020525
Hrabačově u Jilemnice,Q12020525
Hrdlovce,Q1632387
Hromnicích u Plzně,Q2569497
Hudlicích u Berouna,Q1906392
Hvozdné,Q1639647
Hýskově u Berouna,Q1652713
Chanovicích,Q2703628
Chelčicích,Q860470
Chodové Plané,Q1075695
Chodově u Karlových Varů,Q1075678
Cholině u Litovle,Q744601
Cholticích u Přelouče,Q1075989
Chomýži,Q1076034
Chotovinách,Q1076706
Choustníku,Q2130593
Chudobíně,Q1089292
Chválenicích u Plzně,Q370542
Jakubově,Q12022328
Jalubí,Q2236539
Janovicích u Rýmařova,Q12023519
Jaroslavicích u Znojma,Q787877
Jarpicích u Slaného,Q2318144
Javornici u Rychnova nad Kněžnou,Q2238211
Jedovnici,Q1686189
Jesenici u Prahy,Q2192982
Jevanech,Q1433116
Jičíněvsi,Q1689740
Jincích,Q978098
Kalkatě,Q1348
Kaňku u Kutné Hory,Q12029066
Kasselu,Q2865
Kelči na Moravě,Q573642
Kladkách,Q1484749
Klášteře Hradišti nad Jizerou,Q1776680
Klích u Mělníka,Q1760366
Klikově,Q12029386
Klosterneuburgu,Q487522
Kluži,Q100188
Kněždubu,Q2613554
Knínicích u Boskovic,Q1319099
Komárově u Bechyně,Q1781102
Komárově u Opavy,Q12029982
Konici u Prostějova,Q1781657
Kopidlnu,Q1784043
Kopistech u Mostu,Q1784047
Korouhvi u Poličky,Q2277717
Kosoři,Q2659639
Kosově Hoře,Q1785083
Kosovu,Q1246
Kostomlatech nad Labem,Q1785316
Košťálově u Semil,Q1700487
Kotvrdovicích,Q953479
Kralicích,Q12031412
Královci,Q1790498
Krásensku u Vyškova,Q206549
Krásné Hoře u Sedlčan,Q2278031
Krásně nad Bečvou,Q1719724
Krásném Buku,Q12031786
Krhové u Valašského Meziříčí,Q1788526
Kročehlavech u Kladna,Q3509224
Krušovicích u Rakovníka,Q633660
Křeseticích,Q2696862
Křeseticích u Kutné Hory,Q2696862
Křimicích u Plzně,Q3356862
Křivém u Valašského Meziříčí,Q12032278
Křižanově u Velkého Meziříčí,Q602838
Křížové,Q12032353
Křížové u Havlíčkova Brodu,Q1790091
Kublově u Berouna,Q2318894
Kunčičkách u Ostravy,Q3490075
Kunštátě na Moravě,Q1381784
Kunštátu na Moravě,Q1381784
Kunvaldu,Q1756946
Kunžaku u Jindřichova Hradce,Q1648013
Kylešovicích,Q12032116
Lánech u Chrudimi,Q923181
Lanžově,Q1805684
Laškově,Q1985653
Ledcích u Plzně,Q2184929
Ledčicích,Q1811676
Lenešicích,Q1421152
Lenešicích u Loun,Q1421152
Leningradu,Q656
Lenoře,Q1775309
Letech u Dobřichovic,Q2694738
Letovicích u Boskovic,Q652710
Libici nad Doubravou,Q2278393
Libkovicích pod Řípem,Q2524610
Libniči,Q1611611
Libočanech,Q608449
Libušíně u Kladna,Q1641699
Limě,Q2868
Líních,Q1875337
Lipnici nad Sázavou,Q1025109
Liptovskom Mikuláši,Q272040
Lišanech u Rakovníka,Q2703970
Litni u Berouna,Q1428359
Litultovicích u Opavy,Q2427141
Liverpoolu,Q24826
Lnářích u Blatné,Q528071
Loděnici u Berouna,Q2720391
Lochovicích,Q1867461
Lošanech,Q2008614
Lošticích na Moravě,Q1027959
Luběnicích,Q1782161
Lucembursku,Q32
Ludkovicích,Q1789624
Lukavci u Pacova,Q774268
Lulči u Vyškova,Q612708
Luštěnicích u Mladé Boleslavi,Q2598260
Lužicích u Hodonína,Q967239
Majdaleně,Q1818296
Majdaleně u Třeboně,Q1818296
Malesicích u Plzně,Q12034982
Malhostovicích,Q1636603
Malíně,Q12035119
Marseille,Q12034982
Mělnickém Vtelně,Q2498476
Merklíně u Přeštic,Q2526444
Miami,Q8652
Milavči u Domažlic,Q923916
Minsku,Q2280
Mirošovicích u Prahy,Q2067676
Mírově,Q671891
Mladé u Lysé nad Labem,Q1941188
Mlázovicích,Q2861721
Mnichovicích u Prahy,Q1027943
Mödlingu u Vídně,Q277965
Mokrých Lazcích,Q379026
Morávce,Q1691438
Mostech u Jablunkova,Q1949570
Mošovcích,Q34409
Motyčíně u Kladna,Q28974166
Mříčné,Q2384707
Mšeci u Slaného,Q1960514
Mutějovicích,Q2362621
nacistickém vězení v Praze,Q673646
Nadějkově,Q1923114
Nancy,Q40898
Nehvizdech,Q1123825
Němčicích nad Hanou,Q2007259
Němčicích u Litomyšle,Q41198
Nepolisech u Chlumce nad Cidlinou,Q2700375
Nezvěsticích,Q943513
Nezvěsticích u Plzně,Q943513
Nižboru,Q1997179
Nosálovicích u Vyškova,Q12041092
Nosislavi u Brna,Q2001637
Novém Malíně,Q1852554
Novém Meste nad Váhom,Q376987
Novém Mestě nad Váhom,Q376987
Novém Rychnově u Pelhřimova,Q2003381
Novém Veselí,Q1423520
Novosedlech na Moravě,Q748651
obci Stod,Q1011066
Opařanech u Tábora,Q1674877
Opatiji,Q223353
Orli u Chrudimi,Q2521738
Osečku u Poděbrad,Q2033277
Osíku u Litomyšle,Q2096591
Ostřešanech,Q2521327
Otaslavicích,Q2637519
Paběnicích u Kutné Hory,Q2118036
Pačlavicích,Q950925
Palermu,Q2656
Pecce u Nové Paky,Q1767147
Pernštejně,Q12044648
Petřvaldu,Q390177
Pirně,Q6477
Písařově,Q526723
Plaňanech u Kolína,Q2615494
Plotišti nad Labem,Q12045639
Počátkách u Pelhřimova,Q1632616
Podhradí u Jičína,Q2100308
Podivíně u Břeclavi,Q1023848
Podlesí u Příbrami,Q2704010
Podomí u Vyškova,Q1877894
Portlandu,Q6106
Postupicích u Benešova,Q950804
Pouchově u Hradce Králové,Q12046542
Praskačce,Q1927771
Pravoníně,Q2635549
Prosečnici,Q12047202
Prostřední Bečvě,Q657358
Předbořicích u Milevska,Q12047913
Předlicích,Q12047921
Předměřicích nad Jizerou,Q2099649
Předmostí,Q10817376
Přemyšli,Q208473
Přerově nad Labem,Q163642
Příkazech,Q2520071
Příkrém,Q2701883
Přísečnici,Q2121108
Přistoupimi,Q2434249
Přívoze,Q1001632
Ptení,Q2612466
Pusté Rybné,Q1809746
Raděticích u Bechyně,Q175456
Radimi u Jičína,Q2702155
Rakšicích,Q12048790
Raškovicích u Frýdku,Q373060
Ratajích u Bechyně,Q1503115
Ratíškovicích,Q2352852
Regensburgu,Q2978
Rokytnici v Orlických horách,Q1720340
Rosovicích u Dobříše,Q2020032
Rostově na Donu,Q908
Rouenu,Q30974
Rouchovanech u Moravského Krumlova,Q246739
Rovensku,Q2003021
Roztokách u Křivoklátu,Q1783510
Rožmitálu pod Třemšínem,Q2092257
Rudě nad Moravou,Q1369160
Rudíkově,Q246654
Rwandě,Q1037
Řepíně,Q937199
Řepově u Mladé Boleslavi,Q2659902
Řevničově u Rakovníka,Q1116157
Řeznu,Q2978
Říkovicích,Q386946
Římově u Třebíče,Q246287
Sarvaši,Q843014
Sběři,Q2067264
Sedmihorkách,Q745308
Senici na Hané,Q2349943
Seničce,Q1512325
Senince,Q1632624
Sepekově,Q582652
Skalici u Frýdku,Q9337528
Skašticích u Kroměříže,Q1789742
Slabcích u Rakovníka,Q2376801
Slavětíně nad Metují,Q1787909
Slovinsku,Q215
Smidarech u Nového Bydžova,Q1388600
Sobíňově,Q2074441
Sobotíně,Q1748352
Sokolnicích,Q476519
Souticích,Q2615813
Sovětském svazu,Q1388600
Staňkově u Domažlic,Q1632458
Staré Břeclavi,Q12056132
Staré Huti u Berouna,Q81151863
Starém Hrozenkově,Q1852469
Starkoči u Čáslavi,Q2432551
Stěžerách u Hradce Králové,Q2701897
Stínavě,Q2390788
Strání,Q1476557
Strmilově u Jindřichova Hradce,Q937688
Stříbrné Skalici,Q1827619
Stupavě,Q1852441
Suchdole nad Odrou,Q1553447
Svojšicích u Kouřimi,Q2267490
Svojšíně,Q1362088
Svratouchu,Q2035047
Šahách,Q390946
Šaraticích,Q391175
Šardicích,Q2701049
Šatově,Q391317
Šimanově u Havlíčkova Brodu,Q248082
Šitbořicích,Q391753
Škvorci,Q2038193
Šťáhlavech u Plzně,Q392861
Štěnovicích,Q260233
Štěpánově nad Svratkou,Q93510
Štúrovu,Q60038
Šumvaldě u Uničova,Q392688
Tatobitech,Q1115909
Tatranské Lomnici,Q144454
Tedražicích u Sušice,Q12178472
Těchobuzi,Q609903
Travniku,Q159818
Trenčianské Teplé,Q597002
Trhovém Štěpánově,Q1854528
Trhových Dušníkách u Příbrami,Q510274
Trojanovicích pod Radhoštěm,Q973536
Tršicích,Q1739930
Třebotově u Prahy,Q2336733
Třebušicích u Mostu,Q12060302
Třesovicích u Hradce Králové,Q1813242
Třešti u Jihlavy,Q999899
Týnci u Klatov,Q2538242
Uhelné Příbrami u Chotěboře,Q164462
Vacově,Q1933009
Vejprnicích,Q1972528
Velešíně u Českého Krumlova,Q2092152
Velešovicích,Q1343892
Velké Losenici,Q94231
Velkém Březně,Q1476325
Velkém Poříčí nad Metují,Q2304956
Velkém Šenově,Q1019341
Velkém Újezdě u Olomouce,Q1782200
Velkých Hošticích,Q165010
Velkých Chomuticích u Nového Bydžova,Q2020661
Veltrubech,Q1880624
Veltrusech,Q240986
Věrovanech u Tovačova,Q2520120
Větrném Jeníkově,Q1809737
vězení v Berlíně,Q64
Věžkách u Přerova,Q956108
Vilémově u Litovle,Q1293955
Vinoři u Prahy,Q3563089
Vlčnově u Uherského Brodu,Q174735
Vliněvsi,Q11917084
Vlkoši u Kyjova,Q1376121
Vlkoši u Přerova,Q1783065
Vracově u Kyjova,Q1009071
Vraném u Slaného,Q2687038
Vranově nad Dyjí,Q585050
Vratislavicích nad Nisou,Q705952
Vrbně nad Lesy,Q1974412
Všejanech,Q2522714
Všeni u Turnova,Q1429118
Všetatech u Rakovníka,Q2194005
Wroclavi,Q1799
Zaječicích u Chrudimi,Q144480
Zákolanech,Q2263519
Záluží u Hořovic,Q1846919
Záluží u Mostu,Q10937436
Zambii,Q953
Zámrsku,Q246911
Zborovicích,Q168265
Zdíkově u Vimperka,Q169283
Zlonicích u Kladna,Q207261
Zvíkovci,Q2699172
Zvolene,Q11874
Žalově,Q10270248
Žďárci u Tišnova,Q394494
Žďáru u Mnichova Hradiště,Q394461
Žebráku u Hořovic,Q393474
Želči u Vyškova,Q2372819
Želeticích u Kyjova,Q393513
Žiaru nad Hronom,Q393925
Žichovicích,Q948016
Žitenicích u Litoměřic,Q394126
Adamově u Brna,Q158242
Adelaide,Q5112
Amsterodamu,Q727
Argentíně,Q414
Archlebově,Q636067
Babicích u Uherského Hradiště,Q797688
Bagdádu,Q1530
Bahii,Q40430
Bambergu,Q3936
Banskej Bystrici,Q144983
Bardejove,Q27007
Batňovicích,Q811076
Bavorově u Vodňan,Q791533
Bedihošti u Prostějova,Q813905
Bednárečku u Jindřichova Hradce,Q813933
Běhánkách u Teplic,Q11706696
Bejrútu,Q3820
Bělči u Křivoklátu,Q1022025
Belfastu,Q10686
Benátkách u Litomyšle,Q2313764
Bergamu,Q628
Bernarticích u Bechyně,Q823134
Bernarticích u Písku,Q823134
Běstvině u Chotěboře,Q1022073
Bezdružicích,Q616317
Bezměrově u Kroměříže,Q854438
Bezuchově,Q854501
Bielefeldu,Q2112
Bílé Třemešné,Q1019542
Biskoupkách u Třebíče,Q866380
Blízkově,Q887101
Blovicích u Plzně,Q885482
Bogotě,Q885482
Bohuňovicích u Olomouce,Q2350729
Bochoři,Q889050
Bochumi,Q2103
Bojkovicích na Moravě,Q891190
Bojkovicích u Uherského Brodu,Q891190
Bolzánu,Q6526
Borotíně u Tábora,Q2574196
Borové u Poličky,Q2069491
Borovici u Mnichova Hradiště,Q11231928
Bosni u Mnichova Hradiště,Q256149
Bosonohách u Brna,Q894482
Bouzově,Q895330
Brance u Opavy,Q2353675
Brašově,Q82174
Bratislave,Q1780
Bristolu,Q23154
Británii,Q145
Brodku,Q11344570
Brtnici u Jihlavy,Q950352
Brušperku u Frýdku,Q994946
Břestu,Q727681
Březinách,Q1022165
Březně,Q11706959
Březně u Mladé Boleslavi,Q1118170
Březnici u Blatné,Q1019970
Březnici u Zlína,Q1022173
Břuchotíně,Q9183713
Bubovicích u Berouna,Q1120254
Bubovicích u Březnice,Q11358047
Bučině u Vysokého Mýta,Q1018413
Bučovicích na Moravě,Q776426
Budislavicích,Q11359942
Buchenwaldu,Q152802
Bukoli,Q11362790
Bukoli u Kralup,Q11362790
Býchorech,Q1021896
Bylnici,Q11706310
Bystrci,Q3564800
Bystrci u Brna,Q3564800
Bystrovanech u Olomouce,Q222209
Bystřičce,Q280405
Cádizu,Q15682
Caracasu,Q1533
Celle,Q3933
Cerekvici u Hořic,Q2324192
Cerekvici u Litomyšle,Q2350277
Cerhonicích u Písku,Q2140210
Cetorazi u Pacova,Q390985
Ciceru,Q578221
Častolovicích nad Orlicí,Q337703
Častolovicích u Kostelce nad Orlicí,Q337703
Čechovicích u Prostějova,Q11170442
Čechticích u Vlašimi,Q2704927
Čejči,Q2641539
Čeljabinsku,Q906
Čermné u Kolovče,Q2538415
Černěticích u Volyně,Q11174662
Černìvcì,Q157725
Černochově u Loun,Q11171719
Černých Budách,Q11173144
Čertoryjích u Olomouce,Q9393799
Července u Litovle,Q339735
Červeném Dřevě,Q27659510
České Bělé u Havlíčkova Brodu,Q2395486
České Bříze u Plzně,Q2189219
České Olešné,Q11179320
České u Brna,Q340674
Českém Brodu,Q341223
Českém Herálci,Q11292484
Českém Rudolci,Q341258
Českých Budějovících,Q16506
Čestlicích,Q2659658
Činěvsi,Q341530
Čížkově u Pelhřimova,Q341845
Čuníně,Q11385662
Daliměřicích u Turnova,Q11774129
Dambořicích u Kyjova,Q1158317
Davosu,Q68097
Deblíně u Tišnova,Q1181531
Delftu,Q690
Desné u Litomyšle,Q2350609
Dětenicích u Libáně,Q1272631
Dětmarovicích,Q1025177
Divákách,Q1023881
Divišově u Benešova,Q854992
Döblingu u Vídně,Q267360
Dobré u Frýdku,Q1233633
Dobroměřicích u Loun,Q2010789
Dobromilicích,Q2000128
Dobronicích u Bechyně,Q1233522
Dobrovízi,Q2081396
Dolanech u Plzně,Q305371
Dolném Kubíně,Q589309
Dolní Branné,Q1236066
Dolní Dobrouči u Ústí nad Orlicí,Q652065
Dolní Lhotě u Blanska,Q11816279
Dolní Sloupnici,Q11817206
Dolní Sytové,Q11817372
Dolních Domaslavicích,Q928501
Dolních Loučkách u Tišnova,Q1236134
Dolních Mokropsech,Q41857111
Dolních Studénkách u Šumperka,Q1236223
Dolním Bukovsku u Týna nad Vltavou,Q1146788
Dolním Polubném,Q14830724
Dolním Těrlicku,Q9192544
Dolnom Kubíne,Q589309
Doloplazích u Olomouce,Q1236326
Domašíně u Dobrušky,Q11818985
Domašíně u Vlašimi,Q11819032
Domousnici,Q2108443
Domoušicích,Q2194137
Dortmundu,Q1295
Douai,Q193826
Doupově,Q27645287
Dožicích u Blatné,Q11825357
Drahelicích,Q11825955
Drahorazi,Q11826362
Drahově u Veselí nad Lužnicí,Q596495
Drásově u Tišnova,Q1261674
Dražicích u Tábora,Q2381704
Drnholci,Q1023882
Drnholci nad Lubinou,Q48239806
Dubanech u Prostějova,Q11833798
Dubí u Kladna,Q11834714
Dubí u Teplic,Q601254
Dublovicích u Sedlčan,Q1979828
Dubně,Q2482767
Dubnici nad Váhom,Q481528
Dubu u Vodňan,Q910476
Dukovanech,Q1264678
Edinburghu,Q23436
Edinburgu,Q23436
Eisenachu,Q7070
Ekvádoru,Q736
Feraře,Q13362
Fontainebleau,Q182872
Francově Lhotě,Q372132
Františkově u Liberce,Q10816081
Freibergu,Q14819
Frísku,Q770
Fryčovicích,Q941741
Frýdštejně u Turnova,Q1358148
Gentu,Q1296
Ghaně,Q117
Grenoblu,Q1289
Grymově,Q1551182
Gutech,Q849894
Habrovanech u Vyškova,Q980370
Háji u Opavy,Q2054252
Havírně u Příbrami,Q12019309
