place,QID
Benátkách nad Jizerou,Q818540
Frýdku Místku,Q48194
Otrokovicích,Q1009095
Velké Bíteši,Q158429
Židlochovicích,Q393955
Frankfurtu nad Mohanem,Q1794
Hustopečích u Brna,Q1023875
Jimramově,Q158422
Lošticích,Q1027959
Trhových Svinech,Q1019315
Volarech,Q509207
Bruselu,Q239
Brušperku,Q994946
Curychu,Q72
Horšovském Týně,Q166255
Jaroměřicích nad Rokytnou,Q1023451
Letovicích,Q652710
Roztokách u Prahy,Q1756968
Světlé nad Sázavou,Q1001639
Šlapanicích u Brna,Q371321
Bystřici nad Pernštejnem,Q1018700
Lišově,Q1564700
Pečkách,Q1813776
Řevnicích,Q386858
Velvarech,Q1024881
Vyšším Brodě,Q1019688
Ženevě,Q71
Augsburgu,Q2749
Českých Velenicích,Q341197
Florencii,Q2044
Kloboukách u Brna,Q1023810
Malackách,Q837464
Napajedlech,Q1019083
Starém Plzenci,Q1641774
Stuttgartu,Q1022
Šumburku nad Desnou,Q10500828
Týnci nad Labem,Q1641799
Uherském Ostrohu,Q1027604
Velké nad Veličkou,Q1974421
Zbirohu,Q168234
Banské Štiavnici,Q208110
Blovicích,Q885482
Innsbrucku,Q1735
Kročehlavech,Q3509224
Litvínově,Q986082
Los Angeles,Q65
Spišské Nové Vsi,Q462840
Stříbře,Q1008750
Velkých Karlovicích,Q1022317
Amsterdamu,Q727
Bělehradě,Q3711
Bohdanči,Q890760
Bzenci,Q1018795
Černošicích,Q339112
Černovicích u Tábora,Q339102
České Kamenici,Q340680
Lovosicích,Q1000069
Mukačevu,Q146456
Rožďalovicích,Q2003956
Ružomberoku,Q27541
Štramberku,Q392466
Žarošicích,Q393424
Žirovnici,Q394108
Bakově nad Jizerou,Q804489
Basileji,Q78
Erlangenu,Q3126
Hodslavicích,Q1622760
Humenném,Q502264
Jeruzalémě,Q1218
Komárně,Q210796
Kopidlně,Q1784043
Kosmonosech,Q1394252
Rožmitále pod Třemšínem,Q2092257
Budyni nad Ohří,Q1001647
Čechách,Q338169
Dobřichovicích,Q158280
Františkových Lázních,Q756581
Golčově Jeníkově,Q1011641
Gottwaldově,Q171018
Hlučíně,Q158257
Kostelci na Hané,Q1785187
Lučenci,Q728965
Madridu,Q2807
Nových Zámcích,Q24817424
Nýřanech,Q1017227
Rosicích u Brna,Q1025213
Smiřicích,Q2093942
Šluknově,Q392166
Uhlířských Janovicích,Q1782229
Dolních Kounicích,Q1023466
Horní Plané,Q1628741
Kvasicích,Q1794830
Martine,Q27001
Piešťanech,Q321074
Slatiňanech,Q1757182
Smečně,Q1022963
Tel Avivu,Q33935
Terstu,Q546
Velké Bystřici u Olomouce,Q1022962
českém Dubu,Q341243
Ivančicích u Brna,Q1008686
Kašperských Horách,Q703182
Lázních Bělohrad,Q1017287
Mimoni,Q149229
Mšeně,Q1010667
Rimavské Sobotě,Q829812
Staré Pace,Q2034240
Bánské Bystrici,Q144983
Bologni,Q1891
Dašicích,Q1027639
Frýdlantu v Čechách,Q986077
Grazu,Q13298
Hlohovci,Q1017034
Horní Branné,Q1628632
koncentračním táboře Terezín,Q160175
Kremnici,Q754776
Mirovicích,Q1641693
Napajedlích,Q1019083
Neveklově,Q1641681
Plumlově,Q1023454
Starém Městě u Uherského Hradiště,Q1009003
Stodu,Q1011066
Stráži nad Nežárkou,Q1641823
Štrasburku,Q6602
Uničově,Q682361
Bonnu,Q586
Brodku u Přerova,Q924280
Fryštáku,Q1471150
Havlíčkově Brodu,Q954596
Hostomicích pod Brdy,Q1630641
Chrasti u Chrudimi,Q1076872
Jablonném nad Orlicí,Q1676870
Jablunkově,Q149108
Kolíně nad Rýnem,Q365
Koryčanech,Q205616
Kuřimi,Q1000046
Manětíně,Q1641748
Michalovcích,Q460925
Neratovicích,Q239597
Nové Říši,Q158418
Příboře,Q654019
Spáleném Poříčí,Q1641712
Velkých Bílovicích,Q662194
Vrútkách,Q837456
Würzburgu,Q2999
Zdounkách,Q169153
Barceloně,Q1492
Doudlebech nad Orlicí,Q1251680
Frýdlantu nad Ostravicí,Q1010131
Horním Jelení,Q1017282
Cholticích,Q1075989
Klášterci nad Ohří,Q158268
Klimkovicích,Q176289
Kožlanech,Q1785887
Kyšperku,Q1010158
Libušíně,Q1641699
Lyonu,Q456
Náměšti na Hané,Q962766
