televizní reportéři;Q22976182
tenisté;Q10833314
teologové;Q1234713
textaři;Q822146
tlumočníci;Q11085831
trubadúři;Q186370
trávníkáři;Q202688
tvůrci televizních pořadů;Q112120555
typografové;Q1229025
učitelé;Q37226
varhanáři;Q1937431
varhaníci;Q765778
velvyslanci;Q121998
viceprezidenti;Q42178
vizionáři;Q2330647
vojenští letci;Q408832
vojenští lékaři;Q4002666
vojenští velitelé;Q11545923
vojevůdci;Q1402561
vojáci v záloze;Q561904
vojáci z povolání;Q829064
vojáci;Q4991371
vozíčkáři;Q112120208
vrazi;Q931260
vychovatelky;Q974144
vychovatelé;Q974144
vysokoškolští učitelé;Q1622272
vyšetřující soudci;Q568997
váleční zločinci;Q11075015
váleční zpravodajové;Q164236
vědci;Q901
zemědělci;Q131512
zoologové;Q350979
zpěvačky;Q177220
zpěváci;Q177220
řeholnice;Q191808
řeholníci;Q2566598
řemeslníci;Q1294787
řečníci;Q12859263
řidiči;Q352388
účetní;Q56224063
stenografové;Q18810149
klavíristé;Q486748
sbormistři;Q1076502
karikaturisté;Q3658608
bankéři;Q806798
veřejný ochránce práv;Q169180
atleti;Q11513337
političtí aktivisté;Q11499147
ošetřovatelky;Q12043435
vodníci;Q720378
golfisté;Q11303721
televizní hlasatelé;Q16157785
televizní režiséři;Q2059704
televizní producenti;Q578109
televizní scenáristé;Q73306227
rozhlasoví reportéři;Q112122628
anarchisté;Q12961474
prostitutky;Q14915751
přírodovědci;Q18805
objevitelé a vynálezci;Q205375
sportovní funkcionáři;Q15986539
sportovní parašutisté;Q6060450
důstojníci;Q189290
meteorologové;Q2310145
zahradní architekti;Q2815948
zdravotničtí pracovníci;Q11974939
zdravotní sestry;Q186360
zdravotní laboranti;Q1483433
pedagogové;Q1231865
auditoři;Q10949665
lékařky;Q39631
hodináři;Q157798
krasobruslařky;Q13219587
žokejové;Q846750
kardiologové;Q3264451
šachisté;Q10873124
rychtáři;Q4122737
bulharisté;Q112118876
fotbaloví rozhodčí;Q859528
svobodní zednáři;Q23305046
mniši;Q733786
tenistky;Q10833314
státní úředníci;Q212238
lupiči;Q10659189
biologové;Q864503
úředníci;Q599151
bibliofilové;Q18120029
rytci;Q329439
skláři;Q1413824
betlemáři;Q59823990
léčitelé;Q2518689
zápasníci;Q12369333
nunciové;Q157037
duchovní učitelky;Q29352392
vyšetřovatelé;Q1971388
vězeňkyně;Q1862087
ilustrátoři;Q644687
gynekologové;Q2640827
romanisté;Q2504617
léčitelky;Q2518689
geodeti;Q294126
slabikáře;Q595801
notáři;Q189010
dráteníci;Q338221
proroci;Q42857
skautky;Q18121791
záchranáři;Q17126809
cyklisté;Q2309784
misionářky;Q219477
šperkaři;Q336221
sochařky;Q1281618
umělkyně;Q483501
výtvarnice;Q3391743
kaligrafové;Q3303330
katoličtí teologové;Q98833890
tibetologové;Q1864603
mučedníci;Q6498826
feministky;Q34074720
jáhni;Q161944
mzdové účetní;Q43683892
germanisté;Q2599593
šlechtitelé rostlin;Q60441566
piloti formule 1;Q10841764
editoři;Q1607826
vizionářky;Q2330647
šamani;Q697405
buddhisté;Q6926246
kouzelníci;Q148401
medailéři;Q1708232
pastevci;Q12059906
balkanisté;Q112118879
kreslíři;Q15296811
filmové režisérky;Q2526255
výrobci hudebních nástrojů;Q1955150
geochemici;Q16335312
teroristé;Q14886050
musheři;Q500097
buddhističtí mniši;Q854997
anglisté;Q16308156
řezníci;Q329737
baltisté;Q64152206
recidivisté;Q2384039
terciářky;Q48374762
archivářky;Q635734
elektrotechnici;Q1327627
výchovní poradci;Q44326516
divadelní dramaturgové;Q487596
dětští herci;Q970153
endokrinologové;Q4531850
judaisté;Q5121550
vévodové;Q166886
vévodkyně;Q4593319
čarodějnice;Q148401
trumpetisté;Q12377274
sinologové;Q15255771
plukovníci;Q104680
klauni;Q7358
sekretářky;Q80687
učitelé základních škol;Q10509151
estetici;Q21550346
filmoví kritici;Q4220892
socialisté;Q16003594
lékárníci;Q105186
důlní inženýři;Q18524075
alchymisté;Q15954519
šachistky;Q10873124
mistři bojových umění;Q11124885
truvéři;Q1996467
strojní inženýři;Q1906857
motocykloví závodníci;Q3014296
amatérští filmaři;Q104178852
amatérští umělci;Q59939361
scénografové;Q2707485
řeholní kanovníci;Q89566537
slovakisté;Q112122393
violoncellisté;Q13219637
padělatelé;Q3738757
horští vůdci;Q819677
litografové;Q16947657
sportovní rozhodčí;Q202648
trenéři;Q41583
političtí poradci;Q8125919
advokátky;Q40348
publicistky;Q6051619
agentky;Q9352089
burzovní makléři;Q4182927
gramatici;Q15991187
kartářky;Q22813360
pastoři;Q152002
ministři;Q83307
muzejní pracovníci;Q10333969
jachtaři;Q476246
hlavy států;Q48352
poutníci;Q542704
kytaristky;Q855091
čarodějové;Q148401
cukráři;Q2992505
vražedkyně;Q931260
pečovatelé;Q112129323
gejši;Q82723
filantropové;Q12362622
karatisté;Q9017214
eunuchové;Q179294
nederlandisté;Q19513109
serbisté;Q112122610
sorabisté;Q112122376
duchovní vůdkyně;Q64711780
učitelé mateřských škol;Q3080443
bělorusisté;Q112118884
chemičky;Q593644
zemědělští inženýři;Q10272925
ukrajinisté;Q50359779
básníci;Q49757
prezidentky;Q30461
političky;Q82955
ministryně;Q83307
velvyslankyně;Q121998
diplomatky;Q193391
baletky;Q805221
architektky;Q42973
umělečtí kováři;Q106376887
restaurátoři;Q2145981
pravoslavní kněží;Q19340487
dalajlamové;Q37349
zlatníci;Q211423
klenotníci;Q336221
matematičky;Q170790
sportovní lékaři;Q2577681
hebraisté;Q4988856
horští záchranáři;Q59917804
informační vědci;Q1265807
lingvistky;Q14467526
zločinci;Q2159907
ragbisté;Q14089670
sportovkyně;Q2066131
běžkyně na lyžích;Q13382608
tiskoví mluvčí;Q2358549
ilustrátorky;Q644687
hispanisté;Q2505739
překladatelky;Q333634
spiritisté;Q112121932
libretisté;Q8178443
cestovatelky;Q22813352
astronomky;Q11063
odstřelovači;Q201948
esperantisté;Q860918
piloti kamikaze;Q133194
veterinární lékaři;Q202883
historičky;Q201788
kurfiřti;Q22722
porodníci;Q13638192
barmani;Q808266
číšníci;Q157195
zvonaři;Q474306
pašeráci drog;Q10384029
dragouni;Q194199
fotbalistky;Q937857
lesní inženýři;Q16021386
sportovní střelci;Q17486376
sportovní střelkyně;Q17486376
astmatici;Q21908916
etologové;Q16831721
rozhlasoví režiséři;Q2459497
pyrotechnici;Q3411358
habáni;Q1566696
etnografky;Q12347522
designérky;Q5322166
rumunisté;Q108219250
lyžaři;Q4270517
bohemistky;Q71049101
slavistky;Q15976341
zedníci;Q327321
kameníci;Q328325
zahradníci;Q758780
vinaři;Q897317
praktičtí lékaři;Q6500773
kulturologové;Q19829999
dětští vojáci;Q843926
metalurgové;Q18576582
obuvníci;Q152355
polární badatelé;Q112125741
pornoherečky;Q488111
neurologové;Q783906
povozníci;Q1473046
průvodci;Q1039099
ekonomky;Q188094
potápěči;Q1866686
jógínky;Q2901587
apoštolští otcové;Q536985
stříbrotepci;Q2216340
pravoslavní mniši;Q91187063
orišové;Q290460
vdovci;Q18646998
osvětoví pracovníci;Q112129655
speleologové;Q16742175
radiotelegrafisté;Q1318390
hrnčíři;Q3400050
pedagožky;Q1231865
nožíři;Q5793597
prognostici;Q12047093
dálkoví plavci;Q112118895
dálkové plavkyně;Q112118895
plavkyně;Q10843402
žoldnéři;Q178197
odboroví předáci;Q50768646
psycholožky;Q212980
šamanky;Q697405
sérioví vrazi;Q484188
pediatričky;Q1919436
pediatři;Q1919436
učitelky mateřských škol;Q99543138
učitelky základních škol;Q10509151
středoškolské učitelky;Q5758653
učitelky;Q37226
televizní reportérky;Q22976182
básnířky;Q49757
běžkyně;Q12803959
mystičky;Q12328016
křesťanské mystičky;Q43682214
literární teoretici;Q15962340
politické aktivistky;Q11499147
disidentky;Q181043
řezbáři;Q6138343
faráři;Q955464
senátorky;Q15686806
motocyklisté;Q45787133
motorkáři;Q12038783
atletky;Q11513337
umělečtí řemeslníci;Q1294787
abolicionisté;Q18510179
včelaři;Q852389
medievalisté;Q3332711
soudkyně;Q16533
desetibojaři;Q21141381
pětibojaři;Q21141408
oštěpaři;Q18510502
cembalistky;Q5371902
sportovní letci;Q51093963
volejbalisté;Q15117302
plážoví volejbalisté;Q17361156
horolezkyně;Q3951423
kostýmní výtvarníci;Q1323191
islamologové;Q3155377
puškaři;Q1371796
urologové;Q17345122
klarinetisté;Q118865
moravští bratří;Q159318
vikáři;Q193364
presbyteriáni;Q178169
violisté;Q899758
fyzičky;Q169470
nábytkoví designéři;Q11455387
archandělé;Q178342
farářky;Q955464
antropoložky;Q4773904
internisté;Q15924224
kuchaři;Q156839
jaderní fyzici;Q16742096
patriarchové;Q171692
znalci;Q663272
lodní konstruktéři;Q2860259
rockoví zpěváci;Q104218554
střelci;Q109648129
stíhací letci;Q618694
pretoriáni;Q181733
lancknechti;Q156733
choreografky;Q2490358
házenkáři;Q12840545
házenkářští brankáři;Q179789
gubernátoři;Q12018499
evangelizátoři;Q1381391
bioložky;Q864503
oftalmologové;Q12013238
chemičtí technologové;Q5090503
hoteliéři;Q1631120
uzenáři;Q108300820
sedláři;Q1760988
politické vězeňkyně;Q217105
historiografové;Q201788
turkologové;Q13210922
revolucionářky;Q3242115
evangelikálové;Q1381391
fyzioložky;Q2055046
železniční inženýři;Q66711686
letkyně;Q2095549
vojenské letkyně;Q408832
strojvůdci;Q2775569
medici;Q3486937
osvětové pracovnice;Q112129655
divadelní producenti;Q1759246
minnesängři;Q11781549
automobilové závodnice;Q10349745
onkologové;Q16062369
stolní tenisté;Q13382519
stolní tenistky;Q13382519
rostlinní fyziologové;Q60244908
koncertní mistři;Q691031
zemští hejtmani;Q700110
soudní úředníci;Q6302990
ptáčníci;Q19019178
sklářští výtvarníci;Q2865798
sociální kurátoři;Q13968
vzduchoplavci;Q728425
poustevnice;Q189829
divadelní režisérky;Q3387717
teroristky;Q14886050
maratonští běžci;Q13382460
módní návrhářky;Q3501317
humanitární pracovníci;Q22336956
humanitární pracovnice;Q22336956
kryptologové;Q16390131
genetičky;Q3126128
hudební pedagožky;Q16145150
historičky umění;Q1792450
rybáři;Q331432
inženýrky;Q81096
právničky;Q185351
olympionici;Q58825429
folkloristky;Q3075052
citeristé;Q55977806
kováři;Q1639825
mongolisté;Q19829967
komunistky;Q28528560
logopedi;Q11762416
zbrojíři;Q885444
sapéři;Q1324245
duchovní;Q1423891
křesťanští duchovní;Q831474
katoličtí duchovní;Q250867
mykologové;Q2487799
počítačoví vědci;Q82594
neurofyziologové;Q23719406
divadelní ředitelé;Q1776724
pekaři;Q160131
